team_home,team_away,outcome,home_goals_avg,away_goals_avg,home_wins_pct,away_wins_pct
SM Caen,Toulouse FC,0,1.1473684210526316,0.9539473684210527,0.35789473684210527,0.26973684210526316
Dijon FCO,Olympique Lyonnais,0,1.2105263157894737,1.368421052631579,0.3157894736842105,0.40789473684210525
Olympique de Marseille,Stade Rennais FC,0,1.6710526315789473,1.0657894736842106,0.5263157894736842,0.3157894736842105
Montpellier Hérault SC,OGC Nice,2,1.4511278195488722,0.9473684210526315,0.5338345864661654,0.24342105263157895
AS Nancy-Lorraine,AJ Auxerre,1,1.0842105263157895,0.9210526315789473,0.3157894736842105,0.2894736842105263
Paris Saint-Germain,Stade Brestois 29,2,2.1842105263157894,0.6842105263157895,0.6710526315789473,0.15789473684210525
AS Saint-Étienne,LOSC Lille,0,1.4671052631578947,1.1842105263157894,0.4934210526315789,0.35526315789473684
FC Sochaux-Montbéliard,FC Lorient,1,1.263157894736842,1.0789473684210527,0.43859649122807015,0.23026315789473684
AJ Auxerre,SM Caen,1,1.2894736842105263,1.168421052631579,0.40789473684210525,0.23157894736842105
Stade Brestois 29,Montpellier Hérault SC,1,1.0526315789473684,1.1353383458646618,0.3157894736842105,0.2932330827067669
Évian Thonon Gaillard FC,Paris Saint-Germain,1,1.381578947368421,1.5526315789473684,0.3815789473684211,0.48026315789473684
LOSC Lille,FC Sochaux-Montbéliard,1,1.7763157894736843,0.8947368421052632,0.6118421052631579,0.16666666666666666
FC Lorient,AS Saint-Étienne,2,1.4078947368421053,0.9736842105263158,0.40789473684210525,0.3026315789473684
Olympique Lyonnais,Olympique de Marseille,2,1.9013157894736843,1.368421052631579,0.5986842105263158,0.4144736842105263
OGC Nice,AC Ajaccio,2,1.3026315789473684,0.9122807017543859,0.45394736842105265,0.10526315789473684
Stade Rennais FC,AS Nancy-Lorraine,1,1.3486842105263157,1.0526315789473684,0.4144736842105263,0.2736842105263158
